song_id,song_name,song_popularity,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
20GrahbI4AzAOWxpYfDKkf,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",71,0QHgL1lAIqAw0HtD7YldmP,0.757,0.721,4,-2.906,0,0.0691,0.00196,0,0.647,0.364,124.036,165366
608a1wIsSd5KzMEqm1O7w3,I'm On One,71,0QHgL1lAIqAw0HtD7YldmP,0.413,0.807,11,-3.499,0,0.318,0.0536,0,0.631,0.438,149.33,296147
12PNcnMsjsZ3eHm62t8hiy,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",70,0QHgL1lAIqAw0HtD7YldmP,0.545,0.781,10,-3.616,1,0.185,0.0139,0,0.161,0.277,150.097,232507
3MAgQuClHcAV8E9CbeBS6f,Lotus Flower Bomb (feat. Miguel),69,67nwj3Y5sZQLl72VNUHEYE,0.512,0.598,9,-4.959,0,0.115,0.611,0,0.0881,0.345,70.189,213253
1ZeNNGi93weFVbOHdmTB6F,Beauty In The Madness,66,67nwj3Y5sZQLl72VNUHEYE,0.441,0.59,5,-6.443,0,0.152,0.0435,0,0.215,0.532,196.067,223668
6KacmqPPQ3LNoiGFuqGChs,The Need to Know (feat. SZA),66,67nwj3Y5sZQLl72VNUHEYE,0.537,0.411,7,-14.059,1,0.502,0.487,9.21e-6,0.3,0.207,94.292,216832
5z51HY4ei5QhTjcvwq5Msw,On Chill (feat. Jeremih),64,67nwj3Y5sZQLl72VNUHEYE,0.597,0.733,1,-6.017,1,0.41,0.134,0,0.159,0.639,171.016,214035
7rfiXyFb5M9BqdkvKvVEiB,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",63,67nwj3Y5sZQLl72VNUHEYE,0.728,0.811,7,-4.278,1,0.0564,0.0453,2.07e-6,0.362,0.705,114.995,228707
5yhKaacMZGRo4s6evJx9vk,Bad (feat. Rihanna) - Remix,63,67nwj3Y5sZQLl72VNUHEYE,0.807,0.702,6,-6.594,0,0.0748,0.307,0,0.111,0.447,114.038,238827
0wi5NYT0upjIHOG4FWSqdH,Poke It Out (feat. J. Cole),58,67nwj3Y5sZQLl72VNUHEYE,0.778,0.934,9,-3.488,1,0.321,0.184,0,0.123,0.803,98.97,183333
6cSBm4mtcuFtClN6yDvjQo,Love... (Her Fault) [feat. Bryson Tiller],60,67nwj3Y5sZQLl72VNUHEYE,0.59,0.598,7,-7.153,1,0.609,0.0697,0,0.112,0.34,156.073,212500
59PL9AwYjIrIpP04n9gmMR,Ride Out,60,67nwj3Y5sZQLl72VNUHEYE,0.696,0.801,5,-5.641,0,0.0952,0.0469,0,0.502,0.536,93.003,211909
5tZmLjU4vhPlJb12IweZuB,Ambition (feat. Meek Mill & Rick Ross),58,67nwj3Y5sZQLl72VNUHEYE,0.42,0.744,8,-5.033,1,0.396,0.398,8.54e-6,0.192,0.324,161.792,302547
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),78,1sBkRIssrMs1AbVkOJbc7a,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427
5W7xC99N2Zzfh69r7I7zWK,Aston Martin Music,71,1sBkRIssrMs1AbVkOJbc7a,0.57,0.58,1,-5.547,1,0.21,0.0124,0,0.0498,0.404,171.812,270627
5x4vgABKiGp4Vg7ZyFRxhn,Run It (feat. Rick Ross & Rich Brian),70,1sBkRIssrMs1AbVkOJbc7a,0.688,0.725,2,-7.806,1,0.044,0.0195,7.63e-6,0.0726,0.225,104.006,163373
3hQCHzkE5oSA3F1xM8bpcM,Hustlin',69,1sBkRIssrMs1AbVkOJbc7a,0.502,0.652,9,-7.224,1,0.3,0.0848,0,0.0675,0.648,136.08,254093
6JyuJFedEvPmdWQW0PkbGJ,Purple Lamborghini (with Rick Ross),69,1sBkRIssrMs1AbVkOJbc7a,0.457,0.899,10,-2.591,0,0.132,0.0019,0,0.831,0.298,147.268,215510
50ceCGZ3oD3U5caQV5bP6f,You Only Live Twice (with Lil Wayne & Rick Ross),68,1sBkRIssrMs1AbVkOJbc7a,0.519,0.851,7,-6.001,1,0.29,0.118,0,0.178,0.711,123.823,213104
0nq6sfr8z1R5KJ4XUk396e,Stay Schemin,65,1sBkRIssrMs1AbVkOJbc7a,0.541,0.734,7,-4.232,0,0.166,0.0621,0,0.12,0.321,162.304,267720
1rX5L6pyl3rVWb55D8Cprr,Gold Roses (feat. Drake),64,1sBkRIssrMs1AbVkOJbc7a,0.502,0.633,1,-5.8,1,0.419,0.00991,0,0.389,0.552,83.226,349600
5YJym8UmaU4AbzV9LB29lq,Receipts,64,1sBkRIssrMs1AbVkOJbc7a,0.82,0.525,6,-8.518,0,0.162,0.0482,0,0.148,0.446,148.909,193289
67yGTWcR72BZvsrSS2dHST,Here I Am,61,1sBkRIssrMs1AbVkOJbc7a,0.746,0.717,10,-5.788,0,0.127,0.189,0,0.0704,0.475,109.754,209547
79MSEdtXuudhGhC5AtG07g,Break from Toronto,80,2HPaUgqeutzr3jx5a9WyDV,0.596,0.678,9,-5.18,1,0.0335,0.0199,0.004,0.418,0.259,117.066,99213
1wZqJM5FGDEl3FjHDxDyQd,Come and See Me (feat. Drake),73,2HPaUgqeutzr3jx5a9WyDV,0.717,0.347,11,-10.265,0,0.0636,0.0511,2.43e-6,0.087,0.0589,84.987,235477
4HDCLYli2SUdkq9OjmvhSD,BELIEVE IT,71,2HPaUgqeutzr3jx5a9WyDV,0.43,0.7,6,-5.35,1,0.264,0.0902,0,0.216,0.731,158.373,183219
5wUUWVRvrciJqFitZF8R0P,Recognize (feat. Drake),71,2HPaUgqeutzr3jx5a9WyDV,0.643,0.541,2,-5.801,1,0.0426,0.0102,0,0.102,0.165,119.499,311197
6WGTfHSQtUcEx5vgpxTLCs,LOYAL (feat. Drake and Bad Bunny) - Remix,70,2HPaUgqeutzr3jx5a9WyDV,0.877,0.529,0,-6.235,0,0.0461,0.479,0.00159,0.094,0.422,104.984,281120
7FullO2NDkyvxLuxYVKINa,Excitement (feat. PARTYNEXTDOOR),69,2HPaUgqeutzr3jx5a9WyDV,0.443,0.536,4,-8.187,0,0.0378,0.0194,4.24e-5,0.1,0.0391,121.967,283285
3LnJM1B5Mjgx5LfT9plXUU,LOYAL (feat. Drake),68,2HPaUgqeutzr3jx5a9WyDV,0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,197973
43IMaycr34ZR5kS8mlL5hH,Just Might (with PARTYNEXTDOOR),67,2HPaUgqeutzr3jx5a9WyDV,0.69,0.377,7,-7.907,1,0.0793,0.672,1.06e-6,0.106,0.18,104.924,205733
2ekdnv2xVIyAdG3ySoDDeY,Wus Good / Curious,66,2HPaUgqeutzr3jx5a9WyDV,0.344,0.537,8,-8.215,0,0.079,0.0727,1.27e-4,0.225,0.453,82.878,212880
24SDeYAeTFda8OUzVI1VR6,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),66,2HPaUgqeutzr3jx5a9WyDV,0.571,0.747,7,-4.659,1,0.17,0.478,0,0.116,0.635,106.253,259651
6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,71,17lzZA2AlOHwCwFALHttmp,0.822,0.502,7,-7.38,1,0.148,0.0312,8.87e-4,0.114,0.525,73.003,210200
2OQJKTtrH482waGFmOfJni,We Own It (Fast & Furious),70,17lzZA2AlOHwCwFALHttmp,0.563,0.902,1,-4.586,0,0.402,0.0545,0,0.0524,0.559,171.999,227907
2nBI3iWLhupR7LyAJ5GGkE,Champions,68,17lzZA2AlOHwCwFALHttmp,0.692,0.774,6,-2.48,0,0.0876,0.0623,0,0.873,0.349,134.952,334253
4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),68,17lzZA2AlOHwCwFALHttmp,0.768,0.471,2,-8.406,1,0.259,0.0201,0,0.268,0.405,131.023,267427
6C0vyXq2uzFRTTLcE4whhl,Million Dollars Worth of Game (feat. 42 Dugg),62,17lzZA2AlOHwCwFALHttmp,0.81,0.68,2,-4.871,1,0.346,0.0059,0,0.112,0.419,97.02,158627
1nX9KhK3Fff27SnrIor2Yb,4 AM,66,17lzZA2AlOHwCwFALHttmp,0.796,0.5,1,-7.21,1,0.425,0.118,0,0.155,0.227,75.012,255560
33N9JGkr9McbbPEMgUjqPj,Baddest,63,17lzZA2AlOHwCwFALHttmp,0.712,0.703,4,-6.174,0,0.199,0.0287,0,0.13,0.452,89.024,202247
7w8SYlPLA9bqj7vRHvYNDz,Alive (with Offset & 2 Chainz),62,17lzZA2AlOHwCwFALHttmp,0.811,0.726,2,-6.726,1,0.323,0.362,1.88e-6,0.121,0.57,150.061,235897
6j9iyrrmqWlQZ5SD1hSTaq,No Lie,61,17lzZA2AlOHwCwFALHttmp,0.634,0.665,6,-5.984,0,0.176,0.0172,0,0.365,0.611,131.108,237827
671XaUBmifTMXDbZK5CB1M,Mercy.1,61,17lzZA2AlOHwCwFALHttmp,0.556,0.644,6,-5.805,0,0.402,0.0558,2.32e-5,0.35,0.499,140.009,326347
2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",77,2jku7tDXc6XoB6MO2hFuqg,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,227478
3azJifCSqg9fRij2yKIbWz,The Color Violet,77,2jku7tDXc6XoB6MO2hFuqg,0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,226467
4xqIYGwwZTEem9U8A42SPF,Broke In A Minute,74,2jku7tDXc6XoB6MO2hFuqg,0.929,0.7,0,-5.595,0,0.0906,0.144,0,0.349,0.802,120.009,132024
2Gyc6e2cLxA5hoX1NOvYnU,Say It,74,2jku7tDXc6XoB6MO2hFuqg,0.546,0.529,11,-10.511,0,0.0583,0.0862,6.5e-6,0.124,0.247,107.331,237787
2L1OXzqVPpVxotHfLglUcB,Chauffeur,74,2jku7tDXc6XoB6MO2hFuqg,0.639,0.767,6,-4.997,1,0.0928,0.13,0,0.205,0.54,154.032,205040
0Odu228D0yGcFySGuxU4rY,The Take (feat. Chris Brown),71,2jku7tDXc6XoB6MO2hFuqg,0.464,0.547,7,-8.137,0,0.339,0.0511,0,0.155,0.423,67.003,221492
6ydWxkzjDktHsTzvWcaZ1i,In For It,70,2jku7tDXc6XoB6MO2hFuqg,0.383,0.531,5,-7.814,0,0.0741,0.0753,1.02e-4,0.108,0.0375,105.971,293307
4sMmYKC0ot3GTbl2RzHw7T,And This is Just The Intro,69,2jku7tDXc6XoB6MO2hFuqg,0.53,0.517,5,-9.253,0,0.399,0.387,0,0.176,0.381,137.554,326813
6ieWL5CLN9WdC875guWtMe,Lady Of Namek,69,2jku7tDXc6XoB6MO2hFuqg,0.676,0.659,11,-5.123,0,0.0476,0.194,0,0.283,0.595,134.985,193994
16Ah4QqH4mgYVXqfC4mdSd,LUV,67,2jku7tDXc6XoB6MO2hFuqg,0.539,0.528,11,-8.113,0,0.252,0.0108,0,0.117,0.252,190.169,228640
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),91,1RyvyyTE3xzB2ZywiAwp0i,0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,83,1RyvyyTE3xzB2ZywiAwp0i,0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,172933
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),83,1RyvyyTE3xzB2ZywiAwp0i,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),83,1RyvyyTE3xzB2ZywiAwp0i,0.803,0.597,11,-6.035,0,0.141,6.19e-4,4.5e-6,0.323,0.331,136.008,257605
6wyhUr4Xw8z5uSy0AhoZfU,I'M ON ONE (feat. Drake),82,1RyvyyTE3xzB2ZywiAwp0i,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-5,0.296,0.113,76.977,236187
0VgkVdmE4gld66l8iyGjgx,Mask Off,80,1RyvyyTE3xzB2ZywiAwp0i,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600
1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake),73,1RyvyyTE3xzB2ZywiAwp0i,0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,237918
6OrTKLtcF7EBayOV2QqkSK,Hold That Heat (feat. Travis Scott),77,1RyvyyTE3xzB2ZywiAwp0i,0.744,0.608,2,-6.386,1,0.0442,0.0295,0,0.397,0.0692,130.045,221538
0k7wmahjkn389wAZdz19Cv,Drankin N Smokin,76,1RyvyyTE3xzB2ZywiAwp0i,0.752,0.658,0,-6.297,1,0.342,0.0421,0,0.0927,0.387,151.951,213520
0VlpgNPHWCyh8xxLcaK2fp,Petty Too (feat. Future),75,1RyvyyTE3xzB2ZywiAwp0i,0.824,0.577,2,-9.443,1,0.357,0.0109,0,0.107,0.442,154.081,159927
7fYRg3CEbk6rNCuzNzMT06,Potion (with Dua Lipa & Young Thug),89,50co4Is1HCEo8bhOyUWKpn,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-5,0.077,0.757,99.988,214460
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),83,50co4Is1HCEo8bhOyUWKpn,0.803,0.597,11,-6.035,0,0.141,6.19e-4,4.5e-6,0.323,0.331,136.008,257605
1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,78,50co4Is1HCEo8bhOyUWKpn,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,176960
6rTInqW3YECMkQsBEHw4sd,Solid (feat. Drake),77,50co4Is1HCEo8bhOyUWKpn,0.887,0.485,11,-9.358,0,0.2,0.0392,0,0.141,0.328,125.987,215693
7zjEyeBsaw9gV0jofJLfOM,Livin It Up (with Post Malone & A$AP Rocky),76,50co4Is1HCEo8bhOyUWKpn,0.767,0.313,7,-12.059,1,0.0798,0.838,0,0.105,0.765,82.582,210907
4KDNRh9Oor80z3XIxdWlui,Bubbly (with Drake & Travis Scott),75,50co4Is1HCEo8bhOyUWKpn,0.91,0.585,11,-7.572,0,0.257,0.0536,0,0.127,0.599,129.011,165067
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),73,50co4Is1HCEo8bhOyUWKpn,0.697,0.674,1,-6.326,1,0.0533,0.00215,0,0.138,0.198,81.535,157355
5Z8HZM6iQMhhqyPcCGY5g9,Hot (feat. Gunna),72,50co4Is1HCEo8bhOyUWKpn,0.855,0.651,0,-8.044,0,0.235,0.063,0,0.0772,0.559,111.997,193027
6755DFiZ7CWe2WMdTGW5C1,Ski,72,50co4Is1HCEo8bhOyUWKpn,0.953,0.621,8,-7.638,0,0.221,0.017,0,0.0398,0.883,123.016,152333
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),71,50co4Is1HCEo8bhOyUWKpn,0.842,0.597,2,-6.336,1,0.0627,0.00252,0,0.124,0.298,145.992,215307
0PJIbOdMs3bd5AT8liULMQ,oui,77,3KV3p5EY4AvKxOlhGHORLg,0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,238320
0Dc7J9VPV4eOInoxUiZrsL,Don't Tell 'Em,75,3KV3p5EY4AvKxOlhGHORLg,0.856,0.527,2,-5.225,1,0.0997,0.392,0,0.11,0.386,98.052,266840
0x3TibRgnSqzkcwrqBd4iX,Down On Me,73,3KV3p5EY4AvKxOlhGHORLg,0.7,0.598,2,-7.783,1,0.114,0.0369,0,0.111,0.594,160.041,228453
